          MeV        barns
    0.00197194   1.58624e-5 
    0.00202797   1.57076e-5 
    0.00231344   1.50852e-5 
    0.00258781   1.45767e-5 
    0.00290388   1.40701e-5 
    0.00326562   1.35694e-5 
    0.00367801   1.30836e-5 
    0.00411366   1.26412e-5 
    0.00459921   1.22151e-5 
         0.005   1.19008e-5 
     0.0062128   1.15107e-5 
    0.00716156   1.12643e-5 
     0.0085223   1.09631e-5 
          0.01   1.06905e-5 
     0.0100705   1.06905e-5 
          0.02   1.07603e-5 
     0.0246325   1.11915e-5 
     0.0309232   1.16898e-5 
     0.0375793   1.21332e-5 
       0.04697   1.26647e-5 
     0.0503527   1.28474e-5 
       0.06115   1.36708e-5 
     0.0731148   1.44785e-5 
     0.0888526   1.54172e-5 
      0.151058    1.8697e-5 
      0.202822     2.098e-5 
      0.253527   2.29371e-5 
       0.31064   2.48064e-5 
      0.362397    2.6365e-5 
      0.405643   2.75613e-5 
      0.469316   2.90423e-5 
      0.514208   2.99811e-5 
      0.612637   3.18098e-5 
      0.724794   3.36138e-5 
      0.864101   3.56206e-5 
       1.02842   3.78546e-5 
       1.22551   4.02299e-5 
       1.43978    4.2436e-5 
       1.65707   4.44155e-5 
       1.89051   4.63104e-5 
       2.05683   4.75092e-5 
       2.58917    5.0859e-5 
       3.59945   5.66038e-5 
       4.05643   5.89308e-5 
       5.03527   6.30851e-5 
           5.5   6.58004e-5 
             6   6.98088e-5 
           6.5   7.53171e-5 
             7   8.39745e-5 
         7.553  0.000101169 
         8.053  0.000111899 
         8.553  0.000116249 
         9.053  0.000111628 
         9.553    9.6734e-5 
        10.053   8.79668e-5 
       10.1948    8.5091e-5 
       10.3387   8.21744e-5 
       10.4845   7.92166e-5 
        10.553    7.7828e-5 
       10.7019   7.51722e-5 
       10.8529   7.24789e-5 
        11.006   6.97477e-5 
        11.053    6.8909e-5 
       11.2089    6.7281e-5 
       11.3671     6.563e-5 
       11.5274   6.39558e-5 
        11.553    6.3689e-5 
        11.716   6.28069e-5 
       11.8813   6.19123e-5 
       12.0489   6.10052e-5 
        12.053    6.0983e-5 
        12.223   6.25739e-5 
       12.3955   6.41873e-5 
        12.553    6.5661e-5 
       12.7301   6.90433e-5 
       12.9097   7.24732e-5 
        13.053     7.521e-5 
       13.2372   8.22793e-5 
       13.4239   8.94484e-5 
        13.553    9.4404e-5 
       13.7442  0.000103504 
       13.9381  0.000112732 
        14.053    0.0001182 
       14.2513  0.000126547 
       14.4523  0.000135012 
        14.553   0.00013925 
       14.7583  0.000149245 
       14.9665  0.000159381 
        15.053   0.00016359 
       15.2654  0.000171218 
       15.4807  0.000178954 
        15.553   0.00018155 
       15.7724  0.000188251 
       15.9949  0.000195047 
        16.053   0.00019682 
       16.2795  0.000201499 
       16.5092  0.000206244 
        16.553   0.00020715 
       16.7865  0.000208028 
       17.0234  0.000208919 
        17.053   0.00020903 
       17.2936  0.000206586 
       17.5376  0.000204107 
        17.553   0.00020395 
       17.8006   0.00020029 
       18.0518  0.000196578 
        18.053   0.00019656 
       18.3077  0.000195745 
        18.553   0.00019496 
       18.8148  0.000195897 
        19.053   0.00019675 
       19.3218  0.000201895 
        19.553   0.00020632 
       19.8289  0.000209375 
            20   0.00021127 
            20            0 
       20.2822            0 
       20.5683            0 
       20.8585            0 
       21.1528            0 
       21.4512            0 
       21.7538            0 
       22.0607            0 
        22.372            0 
       22.6876            0 
       23.0077            0 
       23.3323            0 
       23.6615            0 
       23.9953            0 
       24.3338            0 
       24.6771            0 
       25.0253            0 
       25.3783            0 
       25.7364            0 
       26.0995            0 
       26.4677            0 
       26.8411            0 
       27.2198            0 
       27.6038            0 
       27.9932            0 
       28.3882            0 
       28.7887            0 
       29.1948            0 
       29.6067            0 
       30.0244            0 
        30.448            0 
       30.8776            0 
       31.3132            0 
        31.755            0 
        32.203            0 
       32.6573            0 
       33.1181            0 
       33.5853            0 
       34.0591            0 
       34.5396            0 
       35.0269            0 
       35.5211            0 
       36.0222            0 
       36.5304            0 
       37.0458            0 
       37.5685            0 
       38.0985            0 
        38.636            0 
       39.1811            0 
       39.7338            0 
       40.2944            0 
       40.8629            0 
       41.4394            0 
        42.024            0 
       42.6169            0 
       43.2182            0 
       43.8279            0 
       44.4462            0 
       45.0733            0 
       45.7092            0 
       46.3541            0 
        47.008            0 
       47.6712            0 
       48.3438            0 
       49.0258            0 
       49.7175            0 
       50.4189            0 
       51.1303            0 
       51.8516            0 
       52.5831            0 
        53.325            0 
       54.0773            0 
       54.8402            0 
       55.6139            0 
       56.3986            0 
       57.1942            0 
       58.0011            0 
       58.8194            0 
       59.6493            0 
       60.4908            0 
       61.3442            0 
       62.2097            0 
       63.0874            0 
       63.9774            0 
         64.88            0 
       65.7954            0 
       66.7236            0 
        67.665            0 
       68.6196            0 
       69.5877            0 
       70.5695            0 
       71.5651            0 
       72.5747            0 
       73.5986            0 
        74.637            0 
       75.6899            0 
       76.7578            0 
       77.8407            0 
       78.9389            0 
       80.0526            0 
        81.182            0 
       82.3273            0 
       83.4888            0 
       84.6667            0 
       85.8612            0 
       87.0725            0 
        88.301            0 
       89.5467            0 
       90.8101            0 
       92.0912            0 
       93.3905            0 
        94.708            0 
       96.0442            0 
       97.3992            0 
       98.7733            0 
       100.167            0 
        101.58            0 
       103.013            0 
       104.466            0 
        105.94            0 
       107.435            0 
       108.951            0 
       110.488            0 
       112.047            0 
       113.627            0 
        115.23            0 
       116.856            0 
       118.505            0 
       120.177            0 
       121.872            0 
       123.591            0 
       125.335            0 
       127.103            0 
       128.897            0 
       130.715            0 
       132.559            0 
       134.429            0 
       136.326            0 
       138.249            0 
         140.2            0 
       142.178            0 
       144.184            0 
       146.218            0 
       148.281            0 
           150            0 

