0.000000414________0,001354594
3,2___0,001713277
3,21___0,001707025
3,22___0,001700422
3,23___0,001693559
3,24____0,00168655
3,25___0,001679449
3,26___0,001672142
3,27___0,001664702
3,28___0,001657221
3,29___0,001649758
3,3___0,001642239
3,31___0,001634704
3,32___0,001627213
3,33___0,001619831
3,34___0,001612517
3,35___0,001605258
3,36____0,00159807
3,37___0,001590967
3,38____0,00158394
3,39___0,001576985
3,4___0,001570103
3,41___0,001563295
3,42___0,001556557
3,43___0,001549891
3,44___0,001543295
3,45___0,001536772
3,46___0,001530319
3,47___0,001523934
3,48___0,001517619
3,49___0,001511376
3,5___0,001505208
3,51___0,001499109
3,52___0,001493068
3,53___0,001487075
3,54___0,001481174
3,55____0,00147534
3,56___0,001469562
3,57___0,001463867
3,58___0,001458246
3,59___0,001452684
3,6___0,001447194
3,61___0,001441787
3,62___0,001436458
3,63______0,0014312
3,64___0,001426022
3,65____0,00142093
3,66___0,001415921
3,67___0,001410987
3,68___0,001406138
3,69___0,001401381
3,7____0,00139672
3,71___0,001392145
3,72___0,001387652
3,73___0,001383234
3,74___0,001378909
3,75___0,001374703
3,76___0,001370573
3,77___0,001366558
3,78___0,001362694
3,79___0,001358905
3,8___0,001355236
3,81___0,001351739
3,82___0,001348425
3,83____0,00134522
3,84___0,001342176
3,85___0,001339353
3,86___0,001336764
3,87____0,00133429
3,88___0,001332004
3,89___0,001330005
3,9___0,001328318
3,91___0,001326708
3,92___0,001325301
3,93___0,001324279
3,94___0,001323755
3,95___0,001323378
3,96___0,001323116
3,97___0,001323017
3,98____0,00132342
3,99___0,001324165
4___0,001325177
4,01___0,001326377
4,02____0,00132771
4,03___0,001329396
4,04___0,001331412
4,05___0,001333637
4,06____0,00133596
4,07______0,0013385
4,08___0,001341272
4,09___0,001344204
4,1___0,001347229
4,11___0,001350407
4,12___0,001353748
4,13______0,0013572
4,14___0,001360714
4,15___0,001364321
4,16___0,001368033
4,17___0,001371805
4,18___0,001375598
4,19___0,001379455
4,2___0,001383333
4,21___0,001387223
4,22___0,001391119
4,23___0,001395028
4,24___0,001398953
4,25___0,001402872
4,26___0,001406764
4,27___0,001410631
4,28___0,001414487
4,29____0,00141831
4,3___0,001422075
4,31___0,001425786
4,32___0,001429459
4,33___0,001433071
4,34___0,001436597
4,35___0,001440024
4,36___0,001443375
4,37____0,00144665
4,38____0,00144985
4,39___0,001452932
4,4___0,001455867
4,41___0,001458727
4,42___0,001461487
4,43___0,001464131
4,44___0,001466686
4,45____0,00146916
4,46___0,001471557
4,47___0,001473878
4,48___0,001476124
4,49___0,001478305
4,5___0,001480432
4,51___0,001482514
4,52___0,001484539
4,53___0,001486519
4,54___0,001488468
4,55___0,001490398
4,56___0,001492293
4,57___0,001494164
4,58___0,001496024
4,59___0,001497885
4,6___0,001499738
4,61____0,00150159
4,62___0,001503457
4,63___0,001505304
4,64____0,00150715
4,65___0,001508981
4,66___0,001510762
4,67____0,00151246
4,68___0,001514121
4,69___0,001515733
4,7___0,001517243
4,71___0,001518599
4,72___0,001519892
4,73___0,001521113
4,74___0,001522163
4,75___0,001522947
4,76___0,001523598
4,77___0,001524181
4,78___0,001524599
4,79___0,001524753
4,8___0,001524637
4,81___0,001524349
4,82___0,001523956
4,83___0,001523221
4,84___0,001522191
4,85___0,001520921
4,86___0,001519443
4,87___0,001517792
4,88____0,00151589
4,89___0,001513635
4,9___0,001511105
4,91___0,001508381
4,92___0,001505446
4,93___0,001502186
4,94___0,001498653
4,95___0,001494901
4,96___0,001490928
4,97___0,001486641
4,98___0,001482078
4,99___0,001477282
5___0,001472244
5,01___0,001466873
5,02___0,001461236
5,03___0,001455414
5,04___0,001449342
5,05___0,001442892
5,06___0,001436256
5,07___0,001429418
5,08___0,001422358
5,09___0,001415055
5,1___0,001407556
5,11___0,001399914
5,12___0,001392163
5,13___0,001384238
5,14___0,001376176
5,15___0,001368031
5,16___0,001359847
5,17___0,001351568
5,18___0,001343219
5,19___0,001334854
5,2___0,001326518
5,21___0,001318173
5,22___0,001309826
5,23___0,001301509
5,24___0,001293252
5,25___0,001285082
5,26___0,001277004
5,27___0,001268998
5,28___0,001261086
5,29___0,001253259
5,3___0,001245501
5,31___0,001237812
5,32____0,00123019
5,33___0,001222639
5,34___0,001215156
5,35___0,001207732
5,36___0,001200357
5,37___0,001193037
5,38___0,001185771
5,39____0,00117855
5,4___0,001171365
5,41____0,00116422
5,42___0,001157117
5,43___0,001150046
5,44___0,001142995
5,45___0,001135969
5,46___0,001128973
5,47____0,00112199
5,48___0,001115023
5,49___0,001108076
5,5___0,001101139
5,51___0,001094214
5,52___0,001087304
5,53____0,00108041
5,54___0,001073531
5,55___0,001066666
5,56___0,001059815
5,57___0,001052978
5,58___0,001046156
5,59___0,001039347
5,6___0,001032553
5,61___0,001025772
5,62___0,001019006
5,63___0,001012254
5,64___0,001005514
5,65___0,000998789
5,66___0,000992079
5,67___0,000985382
5,68___0,000978694
5,69___0,000972034
5,7___0,000965386
5,71___0,000958773
5,72___0,000952238
5,73____0,00094581
5,74___0,000939437
5,75____0,00093315
5,76___0,000927004
5,77___0,000921039
5,78___0,000915185
5,79___0,000909473
5,8___0,000903967
5,81____0,00089872
5,82___0,000893634
5,83___0,000888737
5,84___0,000884116
5,85____0,00087985
5,86___0,000875873
5,87___0,000872134
5,88___0,000868627
5,89___0,000865381
5,9___0,000862672
5,91___0,000860118
5,92___0,000857882
5,93___0,000856123
5,94___0,000854575
5,95___0,000853166
5,96___0,000852125
5,97___0,000851682
5,98___0,000851594
5,99___0,000851529
6___0,000851489
6,01___0,000851474
6,02___0,000851785
6,03___0,000852608
6,04___0,000853726
6,05___0,000854919
6,06___0,000856204
6,07___0,000857779
6,08___0,000859549
6,09___0,000861415
6,1___0,000863408
6,11___0,000865606
6,12___0,000867913
6,13___0,000870338
6,14___0,000872857
6,15___0,000875469
6,16___0,000878135
6,17___0,000880812
6,18___0,000883489
6,19___0,000886213
6,2____0,00088893
6,21___0,000891578
6,22___0,000894135
6,23___0,000896671
6,24___0,000899124
6,25____0,00090142
6,26____0,00090352
6,27___0,000905532
6,28___0,000907404
6,29___0,000909062
6,3____0,00091046
6,31___0,000911674
6,32___0,000912617
6,33___0,000913381
6,34____0,00091356
6,35___0,000913502
6,36___0,000913389
6,37___0,000913229
6,38____0,00091299
6,39____0,00091228
6,4___0,000911155
6,41___0,000909814
6,42___0,000908436
6,43___0,000906832
6,44___0,000904965
6,45____0,00090292
6,46___0,000900773
6,47___0,000898438
6,48___0,000895899
6,49___0,000893207
6,5___0,000890412
6,51___0,000887458
6,52___0,000884337
6,53___0,000881105
6,54___0,000877811
6,55___0,000874328
6,56___0,000870779
6,57___0,000867169
6,58___0,000863504
6,59___0,000859763
6,6___0,000855949
6,61___0,000852101
6,62___0,000848261
6,63___0,000844419
6,64___0,000840556
6,65___0,000836712
6,66___0,000832927
6,67___0,000829197
6,68___0,000825493
6,69____0,00082186
6,7___0,000818343
6,71___0,000814955
6,72___0,000811661
6,73___0,000808466
6,74___0,000805379
6,75___0,000802465
6,76___0,000799757
6,77___0,000797156
6,78___0,000794737
6,79___0,000792524
6,8___0,000790427
